id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality
340936,US-3058,closed,6S Ranch Airport,34.4214,-118.47214,,US,US-CA,Santa Clarita
24423,SC25,small_airport,Ross Strip,34.42269897,-79.88480377,190,US,US-SC,W Society Hill
11863,51CA,small_airport,Kelly Airport,34.42359924,-116.6169968,2806,US,US-CA,Lucerne Valley
342386,US-3370,closed,Indian Dunes Airport,34.424,-118.638,955,US,US-CA,Castaic
19569,KCVN,small_airport,Clovis Municipal Airport,34.42509842,-103.0790024,4216,US,US-NM,Clovis
3866,KSBA,medium_airport,Santa Barbara Municipal Airport,34.42620087,-119.8399963,13,US,US-CA,Santa Barbara
343969,US-3900,closed,Alamo Mission Airport,34.42681,-107.5138,6233,US,US-NM,Alamo
11333,4AL4,heliport,Froberg Heliport,34.42720032,-86.91500092,630,US,US-AL,Hartselle
342946,US-3526,closed,Henderson Field,34.42739,-119.29053,632,US,US-CA,Ojai
10059,33NC,closed,Pettigrew Moore Aerodrome,34.428222,-78.091636,30,US,US-NC,Wilmington
8884,22GA,small_airport,Riverside Airport,34.429298,-85.054398,620,US,US-GA,Fairmount
10984,42AZ,closed,Orme School Airport,34.429566,-112.062693,3934,US,US-AZ,Mayer
299726,3CN2,heliport,Santa Barbara Cottage Hospital Heliport,34.43,-119.724166,201,US,US-CA,Santa Barbara
14818,89CL,closed,Elwood Onshore Facility Heliport,34.430302,-119.912003,15,US,US-CA,Goleta
355848,US-7011,heliport,Los Angeles County Fire Department Del Valle Regional Training Center Heliport 143A,34.43106,-118.66599,1383,US,US-CA,Castaic
350042,US-5846,closed,Polsa Rosa Ranch Airport,34.43245,-118.24093,2540,US,US-CA,Acton
16626,CA96,closed,Goleta Valley Community Hospital Heliport,34.433399,-119.810289,45,US,US-CA,Santa Barbara
19475,KCDS,medium_airport,Childress Municipal Airport,34.43379974,-100.288002,1954,US,US-TX,Childress
17538,GA65,closed,Mercer Airfield,34.437,-84.919702,660,US,US-GA,Calhoun
342875,US-3510,closed,Flying L Landing Strip,34.43808,-97.10275,778,US,US-OK,Davis
16778,CL59,heliport,Camp 11 Heliport,34.438147,-118.287697,2220,US,US-CA,Acton
9142,27CN,heliport,SCE Pardee Substation Helistop,34.439531,-118.57928,1073,US,US-CA,Santa Clarita
353908,OL37,small_airport,Cooper Coles Ranch Airport,34.439535,-96.607723,954,US,US-OK,Connerville
7076,0AL4,heliport,Dekalb Regional Medical Center Heliport,34.442141,-85.755793,870,US,US-AL,Fort Payne
20418,KM22,small_airport,Bill Pugh Field,34.443746,-87.712159,723,US,US-AL,Russellville
24798,TA91,heliport,Childress Regional Medical Center Heliport,34.44440079,-100.2180023,1952,US,US-TX,Childress
333994,US-1242,small_airport,Ashley Field,34.445884,-82.364309,777,US,US-SC,Honea Path
16226,AL34,small_airport,Elam's Landing Airport,34.446999,-87.386101,685,US,US-AL,Moulton
346091,US-4704,small_airport,Rabbit Lake South Airport,34.44844,-117.00493,2946,US,US-CA,Lucerne Valley
352113,US-6392,small_airport,Buron Griffin Airport,34.448697,-90.66181,176,US,US-AR,Helena
19636,KDLC,small_airport,Dillon County Airport,34.44910049,-79.36859894,133,US,US-SC,Dillon
21287,KUDG,small_airport,Darlington County Airport,34.449401,-79.890098,192,US,US-SC,Darlington
15606,99GA,heliport,Curtis Parkway North Heliport,34.45119858,-84.93440247,660,US,US-GA,Calhoun
350082,US-5877,small_airport,Pipeline Road Airport,34.45129,-113.86997,1985,US,US-AZ,Yucca
